id,section,cluster,wave,title,slug,primary_keyword,volume,kd,intent,evidence,angle_rationale,format,word_count,cta_primary,cta_secondary,hub_link,image_source,image_concept,og_treatment,meta_title,meta_description,schema,status,notes
P001,pt,PT Cost & Value,1,"How much is a personal trainer in the UK? 2026 prices, honestly",how-much-is-a-personal-trainer-in-the-uk-2026-prices-honestly,how much is a personal trainer,1300,12,Informational,semrush,"1,300/KD12 anchor — THE online-vs-local argument page in blog form; cites real UK benchmarks",pillar,2500,See coaching options,Free personal fitness assessment,/how-much-is-a-personal-trainer,data-graphic,UK PT price map by region,"headline stat rendered as branded card, 1200x630","How much is a personal trainer in the UK? 2026 prices, honestly | Suth Performance","1,300/KD12 anchor — THE online-vs-local argument page in blog form. From the Elite 15 HYROX coaching team at Suth Performance.",Article + FAQPage + BreadcrumbList,published,shipped as /blog/how-much-is-a-personal-trainer-uk
P002,pt,PT Cost & Value,1,Personal trainer prices: what you get at every price point,personal-trainer-prices-what-you-get-at-every-price-point,personal trainer prices,90,13,Informational,semrush,Price-tier breakdown £25-£100+/session; what quality looks like at each,guide,1500,See coaching options,Free personal fitness assessment,/how-much-is-a-personal-trainer,data-graphic,price tier ladder with inclusions,"headline stat rendered as branded card, 1200x630",Personal trainer prices: what you get at every price point | Suth Performance,Price-tier breakdown £25-£100+/session. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
P003,pt,PT Cost & Value,1,Is a personal trainer worth it? A trainer answers honestly,is-a-personal-trainer-worth-it-a-trainer-answers-honestly,is a personal trainer worth it,,,Informational,longtail-unevidenced,"Decision-stage; honest cases where a PT is NOT worth it — trust play, coaching CTA",guide,1500,See coaching options,Free personal fitness assessment,/how-much-is-a-personal-trainer,own-photo,v2/adapt-coaching.jpg,"photo + title band, brand dark/chartreuse, 1200x630",Is a personal trainer worth it? A trainer answers honestly | Suth Performance,Decision-stage. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
P004,pt,PT Cost & Value,1,How much does an online personal trainer cost?,how-much-does-an-online-personal-trainer-cost,online personal trainer cost,,,Informational,longtail-unevidenced,Online pricing transparency nobody offers; our prices named openly,guide,1500,See coaching options,Free personal fitness assessment,/how-much-is-a-personal-trainer,data-graphic,online vs in-person cost comparison,"headline stat rendered as branded card, 1200x630",How much does an online personal trainer cost? | Suth Performance,Online pricing transparency nobody offers. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
P005,pt,PT Cost & Value,2,Personal trainer cost per month: sessions vs coaching compared,personal-trainer-cost-per-month-sessions-vs-coaching-compared,cost of personal trainer,260,14,Info/Commercial,semrush,Monthly-budget framing; £160-260/mo local anchor vs online,guide,1500,See coaching options,Free personal fitness assessment,/how-much-is-a-personal-trainer,data-graphic,monthly cost scenarios,"headline stat rendered as branded card, 1200x630",Personal trainer cost per month: sessions vs coaching compared | Suth Performance,Monthly-budget framing. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
P006,pt,PT Cost & Value,2,How often should you see a personal trainer?,how-often-should-you-see-a-personal-trainer,how often personal trainer,,,Informational,longtail-unevidenced,Frequency question; honest tapering-off answer; online model comparison,guide,1500,See coaching options,Free personal fitness assessment,/how-much-is-a-personal-trainer,ai-generate,"diary page with two marked sessions per week, coffee","photo + title band, brand dark/chartreuse, 1200x630",How often should you see a personal trainer? | Suth Performance,Frequency question. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
P007,pt,PT Cost & Value,2,Are personal trainers worth it for weight loss specifically?,are-personal-trainers-worth-it-for-weight-loss-specifically,personal trainer for weight loss worth it,,,Informational,longtail-unevidenced,Outcome-specific value question; evidence on adherence,guide,1500,See coaching options,Free personal fitness assessment,/how-much-is-a-personal-trainer,ai-generate,trainer and client reviewing food diary at gym table,"photo + title band, brand dark/chartreuse, 1200x630",Are personal trainers worth it for weight loss specifically? | Suth Performance,Outcome-specific value question. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
P008,pt,PT Cost & Value,2,20 questions to ask a personal trainer before paying,20-questions-to-ask-a-personal-trainer-before-paying,questions to ask a personal trainer,,,Informational,longtail-unevidenced,Consumer-champion checklist; printable; positions our answers,guide,1500,See coaching options,Free personal fitness assessment,/how-much-is-a-personal-trainer,data-graphic,question checklist card,"headline stat rendered as branded card, 1200x630",20 questions to ask a personal trainer before paying | Suth Performance,Consumer-champion checklist. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
P009,pt,PT Cost & Value,3,Personal trainer red flags: 12 signs to walk away,personal-trainer-red-flags-12-signs-to-walk-away,personal trainer red flags,,,Informational,longtail-unevidenced,Consumer-protection content; trust magnet; share performance,guide,1500,See coaching options,Free personal fitness assessment,/how-much-is-a-personal-trainer,ai-generate,"client looking sceptical mid gym consult, candid","photo + title band, brand dark/chartreuse, 1200x630",Personal trainer red flags: 12 signs to walk away | Suth Performance,Consumer-protection content. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
P010,pt,PT Cost & Value,3,What does a personal trainer actually do?,what-does-a-personal-trainer-actually-do,what does a personal trainer do,,,Informational,longtail-unevidenced,"Definition-stage query; sets expectations, funnels to assessment",guide,1500,See coaching options,Free personal fitness assessment,/how-much-is-a-personal-trainer,own-photo,v2/about-coaching.jpg,"photo + title band, brand dark/chartreuse, 1200x630",What does a personal trainer actually do? | Suth Performance,Definition-stage query. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
