id,section,cluster,wave,title,slug,primary_keyword,volume,kd,intent,evidence,angle_rationale,format,word_count,cta_primary,cta_secondary,hub_link,image_source,image_concept,og_treatment,meta_title,meta_description,schema,status,notes
H001,hyrox,Fundamentals & FAQ,1,What is HYROX? The complete beginner's explanation,what-is-hyrox-the-complete-beginners-explanation,what is a hyrox,1300,39,Informational,semrush,The definitive plain-English explainer; wins the featured snippet with a 40-word definition up top,pillar,2500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,own-photo,track/pair-frontal-colour.jpg,"photo + title band, brand dark/chartreuse, 1200x630",What is HYROX? The complete beginner's explanation | Suth Performance,The definitive plain-English explainer. From the Elite 15 HYROX coaching team at Suth Performance.,Article + FAQPage + BreadcrumbList,check-overlap,
H002,hyrox,Fundamentals & FAQ,1,"What does HYROX stand for? Name, meaning and origin",what-does-hyrox-stand-for-name-meaning-and-origin,what does hyrox stand for,5400,28,Informational,semrush,"5,400/mo question with a one-line answer nobody gives cleanly; snippet + AI-citation target",guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,ai-generate,"race-floor wide shot, competitors mid-transition, editorial grade","photo + title band, brand dark/chartreuse, 1200x630","What does HYROX stand for? Name, meaning and origin | Suth Performance","5,400/mo question with a one-line answer nobody gives cleanly. From the Elite 15 HYROX coaching team at Suth Performance.",Article + BreadcrumbList (+HowTo where stepped),check-overlap,
H003,hyrox,Fundamentals & FAQ,1,HYROX meaning: what the word actually refers to,hyrox-meaning-what-the-word-actually-refers-to,hyrox meaning,2900,41,Informational,semrush,"Sibling of the stand-for post targeting the distinct 2,900/mo phrasing; canonical-separate intents",guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,ai-generate,"close-up of chalked hands gripping sled rope, shallow depth","photo + title band, brand dark/chartreuse, 1200x630",HYROX meaning: what the word actually refers to | Suth Performance,"Sibling of the stand-for post targeting the distinct 2,900/mo phrasing. From the Elite 15 HYROX coaching team at Suth Performance.",Article + BreadcrumbList (+HowTo where stepped),check-overlap,
H004,hyrox,Fundamentals & FAQ,1,The 8 HYROX stations explained (with weights and standards),8-hyrox-stations-explained-with-weights-and-standards,hyrox stations,2900,29,Informational,semrush,Anchor listicle linking down to all 8 station guides; the internal-linking spine of the site,pillar,2500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,own-photo,guides/station-sled-push.jpg,"photo + title band, brand dark/chartreuse, 1200x630",The 8 HYROX stations explained (with weights and standards) | Suth Performance,Anchor listicle linking down to all 8 station guides. From the Elite 15 HYROX coaching team at Suth Performance.,Article + FAQPage + BreadcrumbList,planned,
H005,hyrox,Fundamentals & FAQ,1,"HYROX rules: the official standards, penalties and no-reps",hyrox-rules-the-official-standards-penalties-and-no-reps,hyrox rules,720,23,Navigational,semrush,"KD23 quick win; tabular rules summary formatted for snippets, updated each season",guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,ai-generate,"judge's-eye view of wall ball rep at target, gym light","photo + title band, brand dark/chartreuse, 1200x630","HYROX rules: the official standards, penalties and no-reps | Suth Performance",KD23 quick win. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),check-overlap,
H006,hyrox,Fundamentals & FAQ,1,"HYROX race format: distances, order and how the race flows",hyrox-race-format-distances-order-and-how-the-race-flows,hyrox format,720,38,Informational,semrush,Format query cluster (format/race format/distances/events in order) consolidated into one canonical,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,data-graphic,"course flow diagram, 8 runs + 8 stations loop","headline stat rendered as branded card, 1200x630","HYROX race format: distances, order and how the race flows | Suth Performance",Format query cluster (format/race format/distances/events in order) consolidated into one canonical. From the Elite 15 HYROX coaching team at Suth Performance,Article + BreadcrumbList (+HowTo where stepped),check-overlap,
H007,hyrox,Fundamentals & FAQ,1,"HYROX divisions explained: Open, Pro, Doubles and Relay",hyrox-divisions-explained-open-pro-doubles-and-relay,hyrox singles,140,50,Informational,semrush,Division chooser with honest guidance on which to enter first; feeds the quiz CTA,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,own-photo,track/pair-bend-rear-colour.jpg,"photo + title band, brand dark/chartreuse, 1200x630","HYROX divisions explained: Open, Pro, Doubles and Relay | Suth Performance",Division chooser with honest guidance on which to enter first. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),check-overlap,
H008,hyrox,Fundamentals & FAQ,1,"HYROX age groups: categories, cut-offs and what they mean for you",hyrox-age-groups-categories-cut-offs-and-what-they-mean-for-you,hyrox age groups,260,22,Informational,semrush,KD22; table of age brackets + how age-group placement works; masters cluster entry point,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,ai-generate,"mixed-age athletes on race start line, documentary style","photo + title band, brand dark/chartreuse, 1200x630","HYROX age groups: categories, cut-offs and what they mean for you | Suth Performance",KD22. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),check-overlap,
H009,hyrox,Fundamentals & FAQ,2,How does HYROX work? Race day from arrival to finish line,how-does-hyrox-work-race-day-from-arrival-to-finish-line,how does hyrox work,90,52,Informational,semrush,Narrative first-timer walkthrough; long-tail catcher for a dozen 'how does it work' phrasings,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,own-photo,track/pair-distant-dusk-bw.jpg,"photo + title band, brand dark/chartreuse, 1200x630",How does HYROX work? Race day from arrival to finish line | Suth Performance,Narrative first-timer walkthrough. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H010,hyrox,Fundamentals & FAQ,2,Is HYROX CrossFit? The differences that actually matter,is-hyrox-crossfit-the-differences-that-actually-matter,is hyrox crossfit,210,28,Informational,semrush,KD28 question with clean yes/no answer; funnels to the full vs-CrossFit comparison,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/guide,ai-generate,"split scene sled lane vs barbell platform, same gym","photo + title band, brand dark/chartreuse, 1200x630",Is HYROX CrossFit? The differences that actually matter | Suth Performance,KD28 question with clean yes/no answer. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
