keyword,segment,buyer_type,intent,volume,kd_percent,cpc_usd,opportunity_score,priority,cluster,status
hyrox,Hyrox,Client,Navigational,110000,65,0.53,38500,P4 Long Term,Fundamentals,not_started
hyrox london,Hyrox,Client,Informational,18100,26,0.99,13394,P2 High Value,Race Events,not_started
hyrox workout,Hyrox,Client,Informational,22200,46,0.32,11988,P3 Build,Workouts,not_started
hyrox results,Hyrox,Client,Informational,14800,19,2.63,11988,P1 Quick Win,Results & Data,not_started
hyrox glasgow,Hyrox,Client,Informational,6600,17,1.62,5478,P1 Quick Win,Race Events,not_started
hyrox birmingham,Hyrox,Client,Informational,6600,30,0,4620,P2 High Value,Race Events,not_started
hyrox glasgow 2026,Hyrox,Client,Informational,5400,16,2,4536,P1 Quick Win,Race Events,not_started
hyrox london 2025,Hyrox,Client,Informational,5400,26,0,3996,P2 High Value,Race Events,not_started
hyrox events,Hyrox,Client,Informational,6600,41,1.54,3894,P3 Build,Race Events,not_started
what does hyrox stand for,Hyrox,Client,Informational,5400,28,0.92,3888,P2 High Value,Fundamentals,not_started
hyrox london 2026,Hyrox,Client,Informational,4400,22,1.17,3432,P1 Quick Win,Race Events,not_started
hyrox dublin,Hyrox,Client,Transactional,4400,23,0.41,3388,P1 Quick Win,Race Events,not_started
hyrox birmingham 2025,Hyrox,Client,Informational,4400,23,0,3388,P1 Quick Win,Race Events,not_started
hyrox trainers,Hyrox,Client,Commercial,2900,22,0.68,2262,P1 Quick Win,Gear,not_started
hyrox stations,Hyrox,Client,Informational,2900,29,0.21,2059,P2 High Value,Stations & Rules,not_started
hyrox exercises,Hyrox,Client,Informational,2400,27,0.2,1752,P2 High Value,Workouts,not_started
hyrox meaning,Hyrox,Client,Informational,2900,41,0.36,1711,P3 Build,Fundamentals,not_started
hyrox training,Hyrox,Client,Informational,3600,56,0.63,1584,P4 Long Term,Training Plans,not_started
hyrox weights,Hyrox,Client,Informational,1900,18,0.55,1558,P1 Quick Win,Stations & Rules,not_started
london hyrox,Hyrox,Client,Informational,1900,21,1.17,1501,P1 Quick Win,Race Events,not_started
hyrox sled push weight,Hyrox,Client,Informational,1900,25,0.35,1425,P1 Quick Win,Stations & Rules,not_started
